"01.066.08";"400"
"01.067.06";"356"
"01.068.04";"579"
"01.068.06";"319"
"01.070.05";"359"
"01.071.02";"206"
"01.071.04";"578"
"01.071.05";"450"
"01.071.06";"319, 561"
"01.072.03";"322"
"01.072.06";"578"
"01.072.07";"446"
"01.072.08";"504"
"01.072.09";"146"
"01.073.08";"83"
"01.073.10";"417"
"01.074.01";"372"
"01.074.06";"424, 438"
"01.074.07";"264"
"01.075.03";"550"
"01.075.04";"396"
"01.075.05";"180"
"01.076.01";"336, 358, 476"
"01.076.04";"473"
"01.076.05";"124, 593"
"01.077.01";"121, 336"
"01.077.05";"265"
"01.078.04";"555"
"01.079.01";"162"
"01.079.05";"401"
"01.079.11";"420"
"01.079.12";"264"
"01.080.03";"309, 316"
"01.080.07";"578"
"01.080.12";"29"
"01.080.14";"142"
"01.080.15";"165, 584"
"01.081.01";"311"
"01.081.03";"83, 314, 573"
"01.081.05";"290, 394, 544"
"01.081.09";"219, 356"
"01.082.01";"37, 43, 325"
"01.082.05";"391"
"01.082.06";"47"
"01.084.06";"573"
"01.084.08";"315, 358"
"01.084.09";"452"
"01.084.16";"119"
"01.084.17";"269"
"01.084.18";"314"
"01.085.03";"74"
"01.085.05";"578"
"01.085.09";"577"
"01.086.04";"84"
"01.086.05";"449"
"01.086.06";"130"
"01.087.02";"578"
"01.087.05";"578"
"01.087.06";"423"
"01.089.01";"327, 420"
"01.089.02";"423"
"01.089.05";"328, 374, 420"
"01.089.08";"304"
"01.089.09";"418"
"01.091.04";"115"
"01.091.08";"337"
"01.091.10";"47"
"01.091.14";"319"
"01.092.06";"28, 368"
"01.092.07";"135, 264"
"01.092.09";"423"
"01.092.12";"381"
"01.093.07";"424"
"01.094.03";"304, 417"
"01.094.04";"303, 306"
"01.094.09";"557, 570"
"01.094.10";"578"
"01.094.11";"578, 583"
"01.094.14";"574"
"01.094.15";"559"
"01.095.08";"381"
"01.096";"210"
"01.096.01";"93"
"01.096.08";"312"
"01.097.04";"341"
"01.098.01";"504"
"01.099";"306"
"01.099.01";"303"
"01.100.04";"124"
"01.100.07";"157"
"01.101.04";"394"
"01.101.06";"397, 474"
"01.101.08";"323"
"01.101.11";"126"
"01.102.08";"128"
"01.102.09";"120"
"01.103";"210"
"01.103.01";"129"
"01.103.06";"303, 306"
"01.103.07";"383, 576"
"01.104.01";"419"
"01.104.02";"357"
"01.104.03";"97"
"01.104.05";"37"
"01.104.06";"394"
"01.105.01";"29, 205"
"01.105.02";"483"
"01.105.05";"210"
"01.105.09";"210"
"01.105.10";"210"
"01.105.17";"108, 371"
"01.105.18";"369, 396"
"01.107.02";"311"
"01.108.02";"147, 413, 571"
"01.108.06";"48, 522"
"01.108.07";"207, 476"
"01.108.13";"376"
"01.109.01";"145"
"01.109.02";"535"
"01.109.07";"203"
"01.110.01";"394"
"01.110.06";"125"
"01.111.02";"327"
"01.111.04";"99"
"01.112.02";"416"
"01.112.08";"385, 415"
"01.112.24";"207"
"01.112.25";"130"
"01.113.05";"419, 422"
"01.113.06";"49, 425"
"01.113.07";"372"
"01.113.09";"420, 576"
"01.113.10";"322"
"01.113.11";"318, 397"
"01.113.15";"375"
"01.113.16";"414"
"01.114.01";"145, 328"
"01.114.02";"305"
"01.114.03";"307"
"01.114.05";"311, 368"
"01.114.06";"270"
"01.114.08";"119"
"01.115.04";"418, 590"
"01.116.05";"374, 576, 582"
"01.116.11";"70, 577"
"01.116.14";"420"
"01.116.15";"414"
"01.116.16";"419"
"01.116.25";"369"
"01.117.03";"123"
"01.117.05";"375, 421"
"01.117.06";"109"
"01.117.07";"369"
"01.117.08";"577"
"01.117.18";"529"
"01.117.19";"535"
"01.118.11";"206"
"01.120.01";"314"
"01.120.08";"546"
"01.120.11";"271"
"01.121.06";"354"
"01.122.01";"206"
"01.122.05";"412"
"01.122.12";"529"
"01.122.14";"206"
"01.123.02";"113, 266"
"01.123.03";"323"
"01.123.05";"560"
"01.123.11";"358, 419"
"01.123.12";"473"
"01.124.01";"425"
"01.124.06";"420"
"01.124.09";"206"
"01.124.10";"206"
"01.124.11";"313"
"01.124.12";"144"
"01.124.13";"70"
"01.125.04";"372, 379"
"01.126.05";"445"
"01.126.07";"47"
"01.127.02";"305, 365"
"01.127.05";"196"
"01.127.10";"206"
"01.127.11";"356"
"01.128.05";"311"
"01.129.02";"401"
"01.129.04";"424, 524, 556"
"01.129.05";"593"
"01.129.06";"195, 208"
"01.129.08";"413"
"01.131.01";"522"
"01.131.03";"100, 465"
"01.131.04";"576"
"01.131.05";"415"
"01.131.06";"414"
"01.131.07";"264, 561"
"01.132.01";"306"
"01.132.04";"478"
"01.132.06";"319"
"01.134.03";"478"
"01.135.04";"84"
"01.135.05";"357"
"01.135.06";"264"
"01.135.08";"267"
"01.136.01";"421"
"01.136.04";"120"
"01.138.01";"55"
"01.138.03";"530"
"01.138.04";"375, 524"
"01.139.07";"309"
"01.140.11";"443"
"01.140.12";"318"
"01.141.04";"48"
"01.141.08";"382"
"01.141.11";"309"
"01.141.12";"311, 312"
"01.141.13";"83, 209, 556"
"01.142.06";"419, 422"
"01.142.11";"49"
"01.143.01";"46"
"01.143.05";"555"
"01.143.06";"336"
"01.143.07";"381"
"01.145";"210"
"01.145.03";"311, 438"
"01.145.04";"578"
"01.147.05";"198"
"01.148.03";"354"
"01.149.01";"37"
"01.150.01";"496"
"01.152.02";"27"
"01.152.03";"355"
"01.152.04";"543"
"01.154.01";"356, 503"
"01.154.02";"216"
"01.154.03";"144"
"01.154.06";"412"
"01.155.03";"422"
"01.155.05";"544"
"01.156.02";"319"
"01.157.01";"414"
"01.158.02";"358"
"01.160";"210"
"01.160.04";"46, 556"
"01.160.05";"309"
"01.161.02";"216, 587"
"01.161.03";"406"
"01.161.04";"376, 556, 590"
"01.161.05";"302, 531"
"01.161.08";"477, 530, 585"
"01.161.09";"530"
"01.161.10";"452"
"01.161.11";"577"
"01.161.13";"117, 375"
"01.161.14";"128"
"01.162.11";"267"
"01.162.12";"531"
"01.162.14";"83"
"01.162.21";"129, 483"
"01.163.01";"576"
"01.163.03";"128"
"01.163.06";"138"
"01.163.08";"444"
"01.163.10";"578"
"01.164.04";"416"
"01.164.05";"413"
"01.164.18";"198"
"01.164.22";"46"
"01.164.26";"312"
"01.164.28";"413"
"01.164.31";"49"
"01.164.39";"135, 290"
"01.164.47";"268"
"01.164.48";"543"
"01.164.49";"356"
"01.165.02";"369"
"01.165.07";"207, 303"
"01.165.08";"377"
"01.165.09";"386"
"01.165.12";"219, 309"
"01.166";"210"
"01.166.02";"49"
"01.166.03";"375"
"01.166.05";"577"
"01.167.01";"411"
"01.167.04";"354"
"01.167.05";"412"
"01.168.03";"85, 265"
"01.168.08";"585"
"01.169.05";"559"
"01.169.08";"264"
"01.170.01";"401, 560, 569"
"01.170.03";"595"
"01.171.04";"393"
"01.173.09";"326, 328"
"01.173.13";"206, 357"
"01.174.05";"313"
"01.174.09";"48"
"01.175.01";"145"
"01.175.06";"594, 595"
"01.176.02";"271"
"01.176.04";"27"
"01.177.04";"406"
"01.178.02";"358"
"01.179.02";"524"
"01.179.03";"303, 304, 307"
"01.180.02";"323"
"01.180.07";"270"
"01.182.04";"99"
"01.182.05";"150, 220"
"01.182.07";"382"
"01.183.03";"411, 557"
"01.184";"210"
"01.184.01";"387"
"01.184.02";"33"
"01.185.08";"560"
"01.185.10";"84"
"01.186.01";"327"
"01.186.02";"327"
"01.186.03";"328"
"01.186.09";"359"
"01.186.11";"206"
"01.188.10";"357"
"01.189.03";"357"
"01.189.07";"49, 396"
"01.190.07";"445"
"01.191.01";"529"
"01.191.06";"504"
"02.001.16";"365"
"02.002.05";"357"
"02.002.06";"377"
"02.002.07";"356"
"02.002.08";"146"
"02.002.10";"442"
"02.003.05";"80"
"02.004.01";"206"
"02.004.03";"401"
"02.004.07";"46, 49"
"02.004.09";"349, 356"
"02.005.01";"417"
"02.005.06";"587"
"02.005.07";"207"
"02.005.08";"326, 448"
"02.006.01";"332"
"02.008.06";"304"
"02.009.03";"264, 387"
"02.010.01";"580"
"02.010.04";"372"
