zurich_lemmatype,zurich_lemma,zur-gra_rank,gra_lemma_id,revised (y/n)
root,√gras-,,gras_3107,y
root,√gr̥bhāy-,,gfBAy_3019,y
root,√gr̥bhⁱ-,,graB_3103,y
root,√gr̥dh-,,gfD_3012,y
root,√gr̥h-,,garh_2927,y
root,√gu-,,gu_2988,y
root,√guh-,,guh_2998,y
root,√gup-,,gup_2994,y
root,√gūrdhay-,,gUrDay_3008,y
root,√hā- 1,,hA_10638,y
root,√hā- 2,,hA_10639,y
root,√han-,,han_10541,y
root,√hary-,,hary_10585,y
root,√has-,,has_10620,y
root,√hās-,,hAs_10643,y
root,√heṣ-,,hez_10745,y
root,√hi-,,hi_10644,y
root,√hīḍ- ~ hīḷ-,,hIq_10711,y
root,√hiṃs-,,hiMs_10646,y
root,√hnu-,,hnu_10762,y
root,√hr̥̄-,,har_10550,y
root,√hr̥- 1,,hf_10720,y
root,√hr̥- 2,,hary_10584,y
root,√hr̥ṇāy-,,hfRAy_10721,y
root,√hr̥ṇīy-,,hfRAy_10721,y
root,√hr̥ṣ-,,hfz_10733,y
root,√hu-,,hu_10713,y
root,√hū-,,hU_10718,y
root,√huvany-,,huvany_10717,y
root,√hvr̥- ~ hru-,,hvf_10777,y
root,√i- 1,,i_1675,y
root,√i- 2,,inv_1753,y
root,√īḍ- ~ īḷ-,,Iq_1824,y
root,√idh- 1,,iD_1701,y
root,√idh- 2,,eD_2304,y
root,√īj-,,Ij_1823,y
root,√īkṣ-,,Ikz_1820,y
root,√il-,,iq_12174,y
root,√indray-,,indray_1721,y
root,√iṅg-,,iNg_1678,y
root,√īṅkhay-,,INKay_1822,y
root,√īr-,,Ir_1831,y
root,√iradh-,,iraD_1765,y
root,√irajy-,,raj_7232,y
root,√irasy-,,irasy_1767,y
root,√īś-,,IS_1836,y
root,√īṣ-,,Iz_1838,y
root,√iṣ- 1,,iz_1776,y
root,√iṣ- 2,,iz_1777,y
root,√iṣaṇy-,,izaRy_1782,y
root,√iṣay-,,izay_1784,y
root,√iṣudhy-,,izuDy_1796,y
root,√iṣūy-,,izUy_1802,y
root,√jajjh-,,jaJJ_3381,y
root,√jakṣ- 1,,jakz_3369,y
root,√jakṣ- 2,,jakz_3370,y
root,√jambh- 1,,jaB_3419,y
root,√jambh- 2,,jaB_3419,y
root,√janⁱ-,,jan_3389,y
root,√janīy-,,janIy_3412,y
root,√jar-,,jar_3427,y
root,√jāray-,,jAray_3491,y
root,√jas-,,jas_3459,y
root,√jeh-,,jeh_3562,y
root,√ji- 1,,ji_3500,y
root,√ji- 2 ~ jinv-,,ji_3501;jinv_3510,y
root,√jīv-,,jIv_3526,y
root,√jmāy-,,jmAy_3579,y
root,√jñā-,,jYA_3571,y
root,√jr̥̄- ~ jūr-,,jar_3429;jur_3539,y
root,√jri-,,jri_3603,y
root,√jr̥mbh-,,jfmB_3555,y
root,√jū-,,jU_3547,y
root,√jūrv-,,jUrv_3554,y
root,√juṣ-,,juz_3541,y
root,√jyā-,,jyA_3580,y
root,√kā-,,kA_2508,y
root,√kam-,,kam_2430,y
root,√kanⁱ-,,kan_2409,y
root,√kaṇūkay-,,kaRUkay_2389,y
root,√kas-,,kas_2507,y
root,√kāś-,,kAS_2542,y
root,√kavīy-,,kavIy_2497,y
root,√khād-,,KAd_2862,y
root,√khanⁱ-,,Kan_2849,y
root,√khid-,,Kid_2869,y
root,√khud-,,Kud_2874,y
root,√khyā-,,KyA_2878,y
root,√kl̥p-,,kalp_2477,y
root,√kr̥-,,kf_2645,y
root,√kr̥̄- 1,,kir_2559,y
root,√kr̥̄- 2,,kir_2558,y
root,√krakṣ-,,krakz_2728,y
root,√kramⁱ-,,kram_2742,y
root,√krand-,,krand_2736,y
root,√kratūy-,,kratUy_2734,y
root,√krī-,,krI_2756,y
root,√krīḍ-,,krIq_2757,y
root,√kr̥p-,,krap_2741,y
root,√kr̥paṇ-,,kfpaR_2673,y
root,√kr̥paṇy-,,kfpaRy_2675,y
root,√kr̥ś-,,karS_2469,y
root,√kr̥ṣ-,,karz_2471,y
root,√kr̥t- 1,,kft_2651,y
root,√kr̥t- 2,,kft_2652,y
root,√krudh-,,kruD_2763,y
root,√kruś-,,kruS_2766,y
root,√kṣā-,,kzi_2795,y
root,√kṣad-,,kzad_2776,y
root,√kṣam-,,kzam_2784,y
root,√kṣar-,,kzar_2789,y
root,√kṣemay-,,kzemay_2828,y
root,√kṣi-,,kzi_2795,y
root,√kṣī-,,kzi_2796,y
root,√kṣip-,,kzip_2800,y
root,√kṣṇu-,,kzRu_2838,y
root,√kṣud-,,kzud_2811,y
root,√kṣudh-,,kzuD_2813,y
root,√kūḍ-,,kUq_2640,y
root,√kulāyay-,,kulAyay_2618,y
root,√kup-,,kup_2598,y
root,√labh-,,laB_7522,y
root,√lī-,,lI_7529,y
root,√lip-,,lip_7527,y
root,√lubh-,,luB_7530,y
root,√mā- 1,,mA_6755,y
root,√mā- 2 ~ mī-,,mA_6756,y
root,√mad-,,mad_6533,y
root,√mah- ?,,mah_6707,y
root,√mahay-,,mah_6707,y
root,√mahīy-,,mahIy_6753,y
root,√majj-,,majj_6507,y
root,√makhasy-,,maKasy_6496,y
root,√maṃh-,,maMh_6479,y
root,√man- 1,,man_6585,y
root,√man- 2,,man_6586,y
root,√manasy-,,manasy_6595,y
root,√mānavasy-,,mAnavasy_6789,y
root,√manāy-,,manAy_6601,y
root,√mand-,,mand_6636,y
root,√manthⁱ-,,maT_6527,y
root,√mantray-,,mantray_6630,y
root,√mathāy-,,maTAy_6528,y
root,√mathⁱ-,,maT_6527,y
root,√med-,,mid_6851,y
root,√mī-,,mI_6861,y
root,√mi- 1,,mi_6817,y
root,√mi- 2,,may_6665,y
root,√mih-,,mih_6859,y
root,√mikṣ-,,mih_6859,y
root,√mīl-,,mIl_6865,y
root,√miṣ-,,miz_6858,y
root,√mith-,,miT_6841,y
root,√mlā-,,mlA_6981,y
root,√mluc-,,mluc_6982,y
root,√mr̥̄-,,mur_6881;mfR_6924,y
root,√mr̥-,,mf_6907,y
root,√mrad-,,mrad_6978,y
root,√mr̥c-,,mfc_6918,y
root,√mr̥ḍ-,,mfq_6921,y
root,√mr̥dh-,,mfD_6929,y
root,√mr̥gay-,,mfgay_6915,y
root,√mr̥j-,,mfj_6920,y
root,√mr̥ś-,,mfS_6935,y
root,√mr̥ṣ-,,mfz_6936,y
root,√muc-,,muc_6870,y
root,√mud-,,mud_6873,y
root,√muh-,,muh_6890,y
root,√muṣāy-,,muzAy_6883,y
root,√muṣⁱ-,,muz_6882,y
root,√myakṣ-,,myakz_6974,y
root,√nabh-,,naB_4828,y
root,√nad-,,nad_4813,y
root,√nādh-,,nAD_4908,y
root,√nah-,,nah_4895,y
root,√nakṣ-,,nakz_4803,y
root,√nam-,,nam_4841,y
root,√namasy-,,namasy_4846,y
root,√nand-,,nand_4825,y
root,√nas-,,nas_4892,y
root,√naś- 1,,naS_4888,y
root,√naś- 2,,naS_4887,y
root,√naśāy-,,naSAy_4891,y
root,√nāth-,,nAT_4904,y
root,√nī-,,nI_5054,y
root,√nid-,,nid_4967,y
root,√nij-,,nij_4955,y
root,√nikṣ-,,nikz_4947,y
root,√nīḷay-,,nIqay_5061,y
root,√niṃs-,,niMs_4939,y
root,√niraṇy-,,ran_7296,y
root,√nr̥maṇasy-,,nfmaRasy_5103,y
root,√nr̥t-,,nft_5088,y
root,√nu- ~ nū-,,nu_5076,y
root,√nud-,,nud_5080,y
root,√ojāy-,,ojAy_2342,y
root,√pā- 1,,pA_5404,y
root,√pā- 2,,pA_5405,y
root,√pac-,,pac_5163,y
root,√pad-,,pad_5225,y
root,√pāj-,,paj_5167,y
root,√panasy-,,panasy_5237,y
root,√panāy-,,panAy_5239,y
root,√panⁱ-,,pan_5235,y
root,√pat- 1,,pat_5186,y
root,√pat- 2,,pat_5187,y
root,√phaṇ-,,PaR_6120,y
root,√phar-,,Par_6121,y
root,√pī- 1,,pi_5468,y
root,√pī- 2,,pI_5514,y
root,√pibd-,,pibd_5497,y
root,√pīḍ-,,pIq_5515,y
root,√pinv-,,pinv_5491,y
root,√piś-,,piS_5500,y
root,√piṣ-,,piz_5511,y
root,√pitūy-,,pitUy_5480,y
root,√plu-,,plu_6111,y
root,√pr̥̄-,,par_5260,y
root,√pr̥-,,par_5261,y
root,√prā-,,prA_6034,y
root,√praś-,,pfC_5738,y
root,√prathⁱ-,,praT_5904,y
root,√pr̥c-,,pfc_5736,y
root,√prī-,,prI_6085,y
root,√priyāy-,,priyAy_6083,y
root,√pr̥kṣ-,,pfkz_5730,y
root,√pr̥tanāy-,,pftanAy_5745,y
root,√pr̥tany-,,pftany_5751,y
root,√pru-,,pru_6087,y
root,√pruṣāy-,,pruzAy_6090,y
root,√pruṣⁱ-,,pruz_6089,y
root,√pruthⁱ-,,pruT_6088,y
root,√pū-,,pU_5681,y
root,√puṣ-,,puz_5666,y
root,√putrīy-,,putrIy_5538,y
root,√pyā-,,pyA_5833,y
root,√r̥-,,ar_954;fch_2152,y
root,√rā- 1,,rA_7355,y
root,√rā- 2,,rA_7356,y
root,√rabh-,,raB_7310,y
root,√rad-,,rad_7289,y
root,√rādh-,,rAD_7380,y
root,√raghuy-,,raGuy_7226,y
root,√rāj-,,rAj_7358;rAj_7359,y
root,√rakṣⁱ-,,rakz_7207,y
root,√ram-,,ram_7320,y
root,√ramb-,,ramb_7321,y
root,√raṃh-,,raMh_7204,y
root,√randh-,,raD_7291,y
root,√randhanāy-,,ranDanAy_7301,y
root,√ranⁱ-,,ran_7296,y
root,√rap-,,rap_7304,y
root,√raph-,,raP_7309,y
root,√rapś-,,rapS_7306,y
root,√rathary-,,raTary_7270,y
root,√rathirāy-,,raTirAy_7280,y
root,√rathīy-,,raTIy_7282,y
root,√rayīy-,,rayIy_7336,y
root,√r̥c-,,arc_1033,y
root,√r̥d-,,ard_1059,y
root,√r̥dh-,,fD_2235,y
root,√rej-,,rej_7473,y
root,√r̥ghāy-,,fGAy_2144,y
root,√rī-,,ri_7400,y
root,√ribh-,,riB_7411,y
root,√ric-,,ric_7404,y
root,√rih-,,rih_7421,y
root,√rikh-,,riK_7403,y
root,√rip-,,rip_7406,y
root,√riś-,,riS_7413,y
root,√riṣ-,,riz_7416,y
root,√riṣaṇy-,,rizaRy_7418,y
root,√r̥j-,,fYj_2175,y
root,√r̥jūy-,,fjUy_2169,y
root,√r̥ṣ-,,fz_2250,y
root,√r̥tay-,,ftay_2200,y
root,√r̥tāy-,,ftAy_2211,y
root,√ru-,,ru_7426,y
root,√rū-,,ru_7425,y
root,√ruc-,,ruc_7432,y
root,√rud-,,rud_7437,y
root,√rudh- 1,,ruD_7442,y
root,√rudh- 2,,ruD_7443,y
root,√ruh-,,ruh_7465,y
root,√ruj-,,ruj_7435,y
root,√ruṣ-,,ruz_7464,y
root,√ruvaṇy-,,ruvaRy_7454,y
root,√sā- ~ si-,,SA_9603;si_9667,y
root,√śā- ~ śī-,,SA_8729;Si_8759,y
root,√sac-,,sac_9133,y
root,√sacanasy-,,sacanasy_9140,y
root,√sacasy-,,sacasy_9142,y
root,√sad-,,sad_9208,y
root,√śad-,,Sad_8645,y
root,√sādh- ~ sidh-,,SAD_9620;siD_9674,y
root,√sagh-,,saG_9120,y
root,√sah-,,sah_9505,y
root,√śak-,,Sak_8560,y
root,√sakhīy-,,saKIy_9116,y
root,√samary-,,samary_9377,y
root,√śamāy-,,SamAy_8662,y
root,√śamⁱ-,,Sam_8659,y
root,√śaṃs-,,SaMs_8557,y
root,√sanāy-,,sanAy_9273,y
root,√sanⁱ-,,san_9251,y
root,√sañj-,,saj_9149,y
root,√sap-,,sap_9305,y
root,√śap-,,Sap_8651,y
root,√sapary-,,sapary_9309,y
root,√saraṇy-,,saraRy_9436,y
root,√śardh-,,SarD_8691,y
root,√sarj-,,sarj_9456,y
root,√śarmay-,,Sarmay_8698,y
root,√sas-,,sas_9493,y
root,√śas-,,Sas_8722,y
root,√śās-,,SAs_8750,y
root,√śatrūy-,,SatrUy_8643,y
root,√ścam-,,Scam_8928,y
root,√ścut-,,Scut_8929,y
root,√sev-,,sev_10153,y
root,√śī-,,SI_8805,y
root,√sic-,,sic_9672,y
root,√sidh-,,siD_9674,y
root,√śiñj-,,SiYj_8769,y
root,√śiṣ-,,Siz_8803,y
root,√sīv- ~ syū-,,siv_9689,y
root,√skabhāy-,,skaBAy_10205,y
root,√skambhⁱ-,,skaB_10204,y
root,√skand-,,skad_10201,y
root,√sku-,,sku_10210,y
root,√smi-,,smi_10328,y
root,√smr̥-,,smf_10329,y
root,√snā-,,snA_10288,y
root,√śnathⁱ-,,SnaT_8930,y
root,√snih-,,snih_10290,y
root,√spaś-,,spaS_10296,y
root,√sphr̥̄-,,sPur_10316,y
root,√sphūrj-,,sPUrj_10317,y
root,√spr̥-,,spf_10303,y
root,√spr̥dh-,,spfD_10304,y
root,√spr̥h-,,spfh_10307,y
root,√spr̥ś-,,spfS_10306,y
root,√sr̥-,,sf_10129,y
root,√śr̥̄-,,Sar_8678;Sir_8788,y
root,√śr̥-,,Sir_8788,y
root,√śrā-,,SrA_8975,y
root,√śramⁱ-,,Sram_8960,y
root,√sraṃs-,,sras_10351,y
root,√śrathary-,,SraTary_8953,y
root,√śrathāy-,,SraTAy_8954,y
root,√śrathⁱ-,,SraT_8951,y
root,√śravasy-,,Sravasy_8969,y
root,√śri-,,Sri_8979,y
root,√śrī-,,SrI_8982,y
root,√sridh-,,sriD_10355,y
root,√śriṣ-,,Sriz_8981,y
root,√srīv-,,sriv_10357,y
root,√sr̥j-,,sfj_10132,y
root,√sr̥p-,,sfp_10137,y
root,√sru-,,sru_10358,y
root,√śru- 1,,Sru_8985,y
root,√śru- 2,,Sru_8988,y
root,√śrudhīy-,,SruDIy_8999,y
root,√śruṣ-,,Sruz_9000,y
root,√stabhāy-,,staBAy_10221,y
root,√stabhūy-,,staBUy_10222,y
root,√stambhⁱ-,,staB_10220,y
root,√stanⁱ-,,stan_10214,y
root,√sthā-,,sTA_10268,y
root,√str̥̄-,,star_10223,y
root,√str̥-,,star_10223,y
root,√stu-,,stu_10237,y
root,√stubh-,,stuB_10244,y
root,√su-,,su_9701,y
root,√śū-,,SU_8884,y
root,√sū- 1,,sU_10079,y
root,√sū- 2,,sU_10080,y
root,√śubh-,,SuB_8857,y
root,√śubhāy-,,SuBAy_8862,y
root,√śuc-,,Suc_8828,y
root,√sūd-,,sUd_10089,y
root,√śudh-,,SuD_8849,y
root,√śuj-,,Suj_8847,y
root,√sukratūy-,,sukratUy_9715,y
root,√sumanasy-,,sumanasy_9899,y
root,√sumnay-,,sumnay_9920,y
root,√sumnāy-,,sumnAy_9923,y
root,√śuṣ-,,Suz_8877,y
root,√suṣvay-,,suzvay_10042,y
root,√śvā-,,SU_8884,y
root,√svad-,,svad_10381,y
root,√svād-,,svAd_10491,y
root,√svaj-,,svaj_10375,y
root,√śvañc-,,SvaYc_9024,y
root,√svanⁱ-,,svan_10393,y
root,√svap-,,svap_10401,y
root,√svapasy-,,svapasy_10405,y
root,√svar-,,svar_10433,y
root,√śvasⁱ-,,Svas_9030,y
root,√svid-,,svid_10524,y
root,√śvit-,,Svit_9041,y
root,√syand-,,syad_10332,y
root,√tak-,,tak_3608,y
root,√takṣ-,,takz_3616,y
root,√tamⁱ-,,tam_3677,y
root,√taṃs-,,taMs_3607,y
root,√tan-,,tan_3635,y
root,√tand-,,tand_3655,y
root,√tanⁱ-,,tan_3636,y
root,√tap-,,tap_3661,y
root,√taruṣy-,,taruzy_3702;tar_3685,y
root,√taviṣīy-,,tavizIy_3720,y
root,√taviṣy-,,tavizy_3723,y
root,√tij-,,tij_3755,y
root,√tilvilāy-,,tilvilAy_3766,y
root,√tr̥̄-,,tar_3685,y
root,√trā-,,trA_3919,y
root,√tras-,,tras_3917,y
root,√tr̥d-,,tfd_3875,y
root,√tr̥h-,,tarh_3708,y
root,√tr̥p-,,tfp_3877,y
root,√tr̥ṣ-,,tfz_3884,y
root,√tsar-,,tsar_4025,y
root,√tū-,,tu_3773,y
root,√tud-,,tud_3790,y
root,√tuj-,,tuj_3783,y
root,√tūr(v)- ~ tur-,,tUrv_3864;tur_3793,y
root,√turaṇy-,,turaRy_3800,y
root,√tuś-,,tuS_3852;tuS_3853,y
root,√tuṣ-,,tuz_3854,y
root,√tvakṣ-,,tvakz_3985,y
root,√tvāy-,,tvAy_4000;tvAy_12403,y
root,√tvíṣ-,,tviz_4008,y
root,√tyaj-,,tyaj_3908,y
root,√u- 1,,u_1842,y
root,√u- 2,,vA_7844,y
root,√ubh-,,uB_2009,y
root,√ubj-,,ubj_2008,y
root,√uc-,,uc_1870,y
root,√ud-,,ud_1892,y
root,√udany-,,udany_1901,y
root,√uh-,,Uh_2134,y
root,√ūh-,,Uh_2133,y
root,√ukṣ-,,ukz_1855,y
root,√ukṣaṇy-,,ukzaRy_1857,y
root,√ūnay-,,Unay_2099,y
root,√ūṅkh-,,UNK_2095,y
root,√ūrjay-,,Urjay_2103,y
root,√uruṣy-,,uruzy_2046,y
root,√uṣ-,,uz_2075,y
root,√vā-,,vA_7842;vA_7843,y
root,√vac-,,vac_7568,y
root,√vacasy-,,vacasy_7573,y
root,√vadhary-,,vaDary_7603,y
root,√vadhⁱ-,,vaD_7598,y
root,√vadⁱ-,,vad_7595,y
root,√vah-,,vah_7833,y
root,√vaj-,,vaj_7578,y
root,√vājay-,,vAjay_7867,y
root,√vakṣ-,,vakz_7552,y
root,√valgūy-,,valgUy_7767,y
root,√vamⁱ-,,vam_7672,y
root,√vañc-,,vaYc_7587,y
root,√vāñch-,,vAYC_7882,y
root,√vandⁱ-,,vand_7646,y
root,√vanⁱ-,,van_7614,y
root,√vanuṣ(y)-,,vanuzy_7640,y
root,√vap- 1,,vap_7660,y
root,√vap- 2,,vap_7661,y
root,√vapuṣy-,,vapuzy_7665,y
root,√varey-,,varey_7733,y
root,√varivasy-,,varivasy_7712,y
root,√vaś-,,vaS_7772,y
root,√vās-,,vas_12551,y
root,√vāś-,,vAS_7935,y
root,√vas- 1,,vas_7782,y
root,√vas- 2,,vas_7783,y
root,√vas- 3,,vas_7784,y
root,√vasāy-,,vasAy_7794,y
root,√vasnay-,,vasnay_7827,y
root,√vasūy-,,vasUy_7818,y
root,√vat-,,vat_7590,y
root,√vavray-,,vavrayAmahe_7770,y
root,√ven-,,ven_8470,y
root,√vī-,,vI_8287;vI_8288,y
root,√vic-,,vic_7965,y
root,√vīḍ- ~ vīḷ-,,vIq_8292,y
root,√vid- 1,,vid_7998,y
root,√vid- 2,,vid_7999,y
