"01.001";"0013"
"01.001.01";"0013"
"01.001.07";"0013"
"01.002";"0014"
"01.002.04";"0014"
"01.002.06";"0014"
"01.002.08";"0014"
"01.002.09";"0015"
"01.003";"0014"
"01.003.01";"0015"
"01.003.02";"0015"
"01.003.07";"0015"
"01.003.08";"0015"
"01.003.11";"0015"
"01.004.01";"0015"
"01.004.03";"0015"
"01.004.04";"0015"
"01.004.05";"0016"
"01.004.06";"0016"
"01.004.07";"0016, 0429"
"01.005.01";"0016"
"01.005.02";"0016"
"01.005.03";"0016"
"01.005.10";"0016, 0429"
"01.006";"0016"
"01.006.01";"0020"
"01.006.03";"0020"
"01.006.04";"0022"
"01.006.06";"0022"
"01.006.07";"0022"
"01.006.09";"0022"
"01.007.02";"0022"
"01.007.06";"0023"
"01.007.07";"0023"
"01.007.09";"0023"
"01.008.02";"0023"
"01.008.03";"0023"
"01.008.04";"0023"
"01.008.06";"0023"
"01.008.07";"0024"
"01.009.01";"0024"
"01.009.02";"0024"
"01.009.04";"0024"
"01.009.09";"0025"
"01.010";"0025"
"01.010.03";"0025"
"01.010.07";"0025"
"01.010.08";"0025"
"01.011";"0025"
"01.011.01";"0025"
"01.011.05";"0025, 0429"
"01.011.06";"0025"
"01.011.07";"0025"
"01.012";"0025"
"01.013.11";"0026"
"01.014.03";"0026"
"01.014.08";"0026"
"01.015.01";"0026"
"01.015.02";"0026"
"01.015.06";"0026"
"01.015.07";"0026"
"01.016.02";"0027"
"01.017.02";"0027"
"01.017.03";"0027"
"01.017.04";"0028"
"01.017.05";"0028"
"01.017.08";"0028"
"01.018.01";"0028"
"01.018.09";"0028"
"01.020.03";"0029"
"01.020.06";"0029"
"01.020.08";"0029"
"01.022";"0029"
"01.022.08";"0029"
"01.022.11";"0029"
"01.022.13";"0029"
"01.022.17";"0029"
"01.022.21";"0029"
"01.023";"0029"
"01.023.05";"0030"
"01.023.07";"0030"
"01.023.08";"0030"
"01.023.15";"0030"
"01.023.18";"0030"
"01.023.19";"0030"
"01.023.23";"0030"
"01.023.24";"0030"
"01.024";"0030"
"01.024.01";"0030"
"01.024.03";"0030"
"01.024.04";"0031"
"01.024.06";"0032"
"01.024.07";"0032"
"01.024.08";"0032"
"01.024.10";"0032"
"01.024.11";"0032"
"01.024.12";"0033"
"01.024.13";"0033"
"01.024.14";"0033"
"01.024.15";"0033"
"01.025";"0033"
"01.025.04";"0033"
"01.025.06";"0033"
"01.025.07";"0033"
"01.025.11";"0033"
"01.025.12";"0033"
"01.025.14";"0034"
"01.025.17";"0034"
"01.025.19";"0034"
"01.026";"0034"
"01.026.01";"0034"
"01.026.02";"0034"
"01.026.08";"0034"
"01.026.09";"0034"
"01.027";"0034"
"01.027.02";"0035"
"01.027.03";"0035"
"01.027.05";"0035"
"01.027.10";"0035"
"01.027.11";"0035"
"01.027.13";"0035"
"01.028";"0036"
"01.028.01";"0036"
"01.028.07";"0036"
"01.029.02";"0036"
"01.029.07";"0036"
"01.030";"0037"
"01.030.01";"0037"
"01.030.02";"0037"
"01.030.05";"0037"
"01.030.06";"0037"
"01.030.09";"0037"
"01.030.11";"0041"
"01.030.12";"0041"
"01.030.13";"0041"
"01.030.14";"0041"
"01.030.15";"0041"
"01.030.16";"0041"
"01.030.20";"0041"
"01.030.21";"0041"
"01.031.03";"0041"
"01.031.05";"0042"
"01.031.07";"0042"
"01.031.09";"0042"
"01.031.11";"0042"
"01.031.13";"0042"
"01.031.14";"0042"
"01.031.15";"0042"
"01.031.17";"0042"
"01.031.18";"0042"
"01.032.04";"0043"
"01.032.05";"0043, 0429"
"01.032.06";"0043"
"01.032.08";"0044"
"01.032.09";"0045"
"01.032.12";"0429"
"01.032.13";"0045"
"01.032.15";"0045"
"01.032.23";"0429"
"01.033.04";"0045"
"01.033.05";"0046"
"01.033.08";"0046"
"01.033.09";"0046"
"01.033.10";"0047"
"01.033.13";"0048"
"01.033.14";"0048, 0429"
"01.033.15";"0048, 0429"
"01.034.01";"0048"
"01.034.02";"0048"
"01.034.04";"0048"
"01.034.05";"0048"
"01.034.05";"0048"
"01.034.06";"0049"
"01.034.07";"0049"
"01.034.08";"0049"
"01.034.10";"0050"
"01.035.03";"0050"
"01.035.06";"0050"
"01.035.07";"0050"
"01.035.08";"0050"
"01.035.09";"0050"
"01.036";"0050"
"01.036.01";"0050"
"01.036.06";"0050"
"01.036.08";"0051"
"01.036.10";"0051"
"01.036.12";"0051"
"01.036.15";"0051"
"01.036.16";"0051"
"01.036.17";"0051"
"01.037";"0051"
"01.037.01";"0051"
"01.037.03";"0052"
"01.037.06";"0052"
"01.037.07";"0052"
"01.037.09";"0052"
"01.037.10";"0052"
"01.037.13";"0052"
"01.037.15";"0052"
"01.038";"0052"
"01.038.01";"0052"
"01.038.02";"0052"
"01.038.04";"0052"
"01.038.06";"0053"
"01.038.07";"0053"
"01.038.10";"0053"
"01.038.11";"0053"
"01.038.12";"0053"
"01.038.13";"0053"
"01.039";"0053"
"01.039.01";"0053"
"01.039.02";"0053"
"01.039.03";"0053"
"01.039.06";"0053"
"01.039.07";"0053"
"01.039.09";"0053"
"01.039.10";"0053"
"01.040";"0053"
"01.040.01";"0053"
"01.040.05";"0054"
"01.040.07";"0054"
"01.040.08";"0054"
"01.041";"0054"
"01.041.02";"0054"
"01.041.03";"0054"
"01.041.07";"0054"
"01.041.08";"0054"
"01.041.09";"0054"
"01.042";"0055"
"01.042.01";"0055"
"01.042.02";"0055"
"01.042.05";"0055"
"01.042.07";"0055"
"01.042.03";"0055"
"01.042.06";"0055"
"01.042.08";"0055"
